nom,lat,long
MARIEL,22.983333,-82.75
BAHAI DE LA HABANA,23.133333,-82.366667
CABANAS,23,-82.966667
MATANZAS,23.05,-81.55
CASILDA,21.75,-79.983333
CIENFUEGOS,22.15,-80.45
ST AUGUSTINE,29.9,-81.31666700000001
CANAVERAL HARBOR,28.7,-80.616667
FORT PIERCE,27.466666999999998,-80.31666700000001
PALM BEACH,26.766666999999998,-80.05
PORT EVERGLADES,26.1,-80.116667
MIAMI,25.783333,-80.18333299999999
TEXAS CITY,29.383333,-94.916667
BAYTOWN,29.733333000000002,-95.016667
PALACIOS,28.683333,-96.216667
PORT LAVACA,28.616667,-96.616667
PORT OCONNOR,28.45,-96.4
ROCKPORT,28.016666999999998,-97.05
CORPUS CHRISTI,27.816667,-97.4
PORT ARANSAS,27.833333000000003,-97.05
PORT INGLESIDE,27.816667,-97.18333299999999
PORT ISABEL,26.083333,-97.2
GALVESTON,29.316667,-94.783333
KEY WEST,24.55,-81.81666700000001
BOCA GRANDE,26.7,-82.333333
TAMPA,27.916666999999997,-82.45
ST PETERSBURG,27.766666999999998,-82.616667
TARPON SPRINGS,28.15,-82.766667
PORT ST JOE,29.816667,-85.31666700000001
GRAND ISLE,29.233333000000002,-90
SABINE,29.716666999999998,-93.866667
SABINE PASS,29.733333000000002,-93.9
SOUTH RIDING POINT,26.616667,-78.216667
PORT MANATEE,27.633333,-82.56666700000001
BROWNSVILLE,25.95,-97.4
PORT ARTHUR,29.833333000000003,-93.966667
CARDENAS,23.05,-81.2
ISABELA DE SAGUA,22.95,-80
JUCARO,21.616667,-78.85
TUNAS DE ZAZA,21.633333,-79.55
NUEVA GERONA,21.916667,-82.8
CAYO ARCAS TERMINAL,20.166667,-91.983333
PROGRESO,21.283333,-89.666667
SAN MIGUEL DE COZUMEL,20.5,-86.966667
LOOP TERMINAL,28.883333,-90.016667
ALTAMIRA,22.483333,-97.85
FREEPORT,26.516666999999998,-78.783333
TUXPAN,20.95,-97.4
TAMPICO,22.216667,-97.866667
DEER PARK,29.75,-95.333333
ST. JAMES,29.983333000000002,-90.93333299999999
SOUTHWEST PASS,28.45,-90.7
NORSWORTHY,29.733333000000002,-95.2
PASADENA,29.716666999999998,-95.216667
SINCO,29.716666999999998,-95.233333
FREEPORT,28.95,-95.333333
PORT NECHES,30,-93.95
CARRABELLE,29.85,-84.666667
APALACHICOLA,29.716666999999998,-84.983333
PORT SULPHUR,29.483333000000002,-89.68333299999999
GRETNA,29.916666999999997,-90.06666700000001
NEW ORLEANS,29.95,-90.05
ST ROSE,29.95,-90.31666700000001
DESTREHAN,29.95,-90.366667
MORGAN CITY,29.7,-91.216667
HOUSTON,29.75,-95.283333
